id,icon,name,description,link,show_on
model-inventory,table_chart,Model Inventory,"Browse, compare, and select AI models by provider, cost, capability, and internal approval state.",models.html,index
skill-finder,search,Skill Finder,"Discover reusable prompts, workflow templates, guardrails, and orchestration patterns by domain.",skills.html,index
community-map,groups,Community Map,"Find guilds, office hours, review councils, and enablement channels for AI work.",communities.html,index
agent-directory,smart_toy,Agent Directory,"Track agents as managed products with owners, channels, risk posture, and production status.",agents.html,index
repository-map,folder_copy,Repository Map,"Connect prompt libraries, evaluation suites, agent runtimes, and integration repos as assets.",foundations.html,"index,foundations"
architecture-diagrams,account_tree,Architecture Diagrams,"Render Mermaid and PlantUML diagrams for system flows, sequences, and dependencies.",foundations.html,"index,foundations"
decision-logs,gavel,Decision Logs,"Track model approvals, deprecations, and architectural decisions with owners and dates.",foundations.html,"index,foundations"
control-surface,shield,Control Surface,"Policy references, approved connectors, and escalation routes for high-risk deployments.",foundations.html,"index,foundations"
metrics-adoption,monitoring,Metrics & Adoption,"Adoption rates, quality signals, cost tracking, and policy compliance dashboards.",,index
api-gateway,token,API Gateway,"Manage API keys, rate limits, model routing, and usage quotas across teams.",,index
evaluation-lab,science,Evaluation Lab,"Run benchmarks, compare model outputs, and validate prompt performance before production.",,index
tech-radar,bubble_chart,Tech Radar,"Track recommended, trial, assess, and hold technologies so teams can align AI choices with an explicit adoption posture.",,"index,foundations"
documentation-hub,description,Documentation Hub,"Centralized guides, onboarding flows, best practices, and runbooks for AI work.",docs.html,index
